# symbol: SPY
# spot: 585.4
# as_of: 2026-03-02T18:30:00Z
# source: synthetic-demo (shape is realistic, numbers are not a real session)
expiry,strike,right,open_interest,implied_vol,bid,ask,last,volume
2026-03-04,500,C,177,0.2859,,,,11
2026-03-04,500,P,10671,0.2859,,,,429
2026-03-04,501,C,70,0.2836,,,,8
2026-03-04,501,P,1952,0.2836,,,,316
2026-03-04,502,C,48,0.2813,,,,6
2026-03-04,502,P,2135,0.2813,,,,96
2026-03-04,503,C,81,0.2791,,,,20
2026-03-04,503,P,2448,0.2791,,,,201
2026-03-04,504,C,106,0.2769,,,,30
2026-03-04,504,P,3997,0.2769,,,,523
2026-03-04,505,C,187,0.2747,,,,6
2026-03-04,505,P,6502,0.2747,,,,657
2026-03-04,506,C,87,0.2725,,,,4
2026-03-04,506,P,3670,0.2725,,,,912
2026-03-04,507,C,101,0.2703,,,,18
2026-03-04,507,P,5158,0.2703,,,,640
2026-03-04,508,C,157,0.2681,,,,5
2026-03-04,508,P,3216,0.2681,,,,249
2026-03-04,509,C,194,0.266,,,,27
2026-03-04,509,P,4517,0.266,,,,830
2026-03-04,510,C,345,0.2639,,,,35
2026-03-04,510,P,13292,0.2639,,,,2867
2026-03-04,511,C,167,0.2618,,,,30
2026-03-04,511,P,6157,0.2618,,,,1631
2026-03-04,512,C,277,0.2597,,,,27
2026-03-04,512,P,8893,0.2597,,,,471
2026-03-04,513,C,242,0.2577,,,,56
2026-03-04,513,P,4929,0.2577,,,,773
2026-03-04,514,C,182,0.2556,,,,37
2026-03-04,514,P,8791,0.2556,,,,1586
2026-03-04,515,C,519,0.2536,,,,55
2026-03-04,515,P,11123,0.2536,,,,2073
2026-03-04,516,C,375,0.2516,,,,55
2026-03-04,516,P,10371,0.2516,,,,2950
2026-03-04,517,C,382,0.2496,,,,78
2026-03-04,517,P,5595,0.2496,,,,1210
2026-03-04,518,C,481,0.2476,,,,143
2026-03-04,518,P,11467,0.2476,,,,1143
2026-03-04,519,C,431,0.2457,,,,89
2026-03-04,519,P,5949,0.2457,,,,888
2026-03-04,520,C,730,0.2438,,,,38
2026-03-04,520,P,12479,0.2438,,,,2933
2026-03-04,521,C,404,0.2418,,,,36
2026-03-04,521,P,9755,0.2418,,,,2575
2026-03-04,522,C,420,0.2399,,,,61
2026-03-04,522,P,11686,0.2399,,,,3124
2026-03-04,523,C,870,0.2381,,,,227
2026-03-04,523,P,9716,0.2381,,,,1324
2026-03-04,524,C,674,0.2362,,,,180
2026-03-04,524,P,16929,0.2362,,,,1053
2026-03-04,525,C,2095,0.2344,,,,177
2026-03-04,525,P,34736,0.2344,,,,5411
2026-03-04,526,C,974,0.2325,,,,91
2026-03-04,526,P,8201,0.2325,,,,1126
2026-03-04,527,C,889,0.2307,,,,158
2026-03-04,527,P,19364,0.2307,,,,4131
2026-03-04,528,C,1096,0.2289,,,,211
2026-03-04,528,P,16933,0.2289,,,,594
2026-03-04,529,C,1556,0.2271,,,,370
2026-03-04,529,P,20116,0.2271,,,,4896
2026-03-04,530,C,2228,0.2254,,,,293
2026-03-04,530,P,20920,0.2254,,,,4133
2026-03-04,531,C,906,0.2236,,,,35
2026-03-04,531,P,12868,0.2236,,,,842
2026-03-04,532,C,1319,0.2219,,,,45
2026-03-04,532,P,10464,0.2219,,,,652
2026-03-04,533,C,1117,0.2202,,,,136
2026-03-04,533,P,11227,0.2202,,,,2973
2026-03-04,534,C,1938,0.2185,,,,119
2026-03-04,534,P,15042,0.2185,,,,1763
2026-03-04,535,C,2139,0.2168,,,,116
2026-03-04,535,P,31061,0.2168,,,,9258
2026-03-04,536,C,2017,0.2152,,,,313
2026-03-04,536,P,13434,0.2152,,,,653
2026-03-04,537,C,1956,0.2135,,,,184
2026-03-04,537,P,26213,0.2135,,,,1709
2026-03-04,538,C,1491,0.2119,,,,426
2026-03-04,538,P,21895,0.2119,,,,1336
2026-03-04,539,C,2684,0.2103,,,,74
2026-03-04,539,P,22560,0.2103,,,,6632
2026-03-04,540,C,6840,0.2087,,,,1470
2026-03-04,540,P,34901,0.2087,,,,4281
2026-03-04,541,C,2196,0.2071,,,,518
2026-03-04,541,P,23953,0.2071,,,,5704
2026-03-04,542,C,2773,0.2056,,,,228
2026-03-04,542,P,29942,0.2056,,,,8856
2026-03-04,543,C,4409,0.204,,,,1083
2026-03-04,543,P,30840,0.204,,,,7005
2026-03-04,544,C,2874,0.2025,,,,474
2026-03-04,544,P,22268,0.2025,,,,626
2026-03-04,545,C,3057,0.201,,,,300
2026-03-04,545,P,25994,0.201,,,,5560
2026-03-04,546,C,5726,0.1995,,,,831
2026-03-04,546,P,35522,0.1995,,,,10537
2026-03-04,547,C,6098,0.198,,,,744
2026-03-04,547,P,20854,0.198,,,,1741
2026-03-04,548,C,3604,0.1965,,,,278
2026-03-04,548,P,30099,0.1965,,,,8189
2026-03-04,549,C,6438,0.1951,,,,993
2026-03-04,549,P,31289,0.1951,,,,7631
2026-03-04,550,C,12203,0.1936,,,,2501
2026-03-04,550,P,127985,0.1936,,,,30594
2026-03-04,551,C,6841,0.1922,,,,1052
2026-03-04,551,P,21388,0.1922,,,,5153
2026-03-04,552,C,5230,0.1908,,,,1277
2026-03-04,552,P,40231,0.1908,,,,5263
2026-03-04,553,C,5886,0.1894,,,,1678
2026-03-04,553,P,34918,0.1894,,,,2360
2026-03-04,554,C,4739,0.188,,,,295
2026-03-04,554,P,39652,0.188,,,,9747
2026-03-04,555,C,6390,0.1867,,,,1606
2026-03-04,555,P,52384,0.1867,,,,10688
2026-03-04,556,C,6618,0.1853,,,,1149
2026-03-04,556,P,21541,0.1853,,,,516
2026-03-04,557,C,10899,0.184,,,,2200
2026-03-04,557,P,31474,0.184,,,,8857
2026-03-04,558,C,7886,0.1827,,,,2082
2026-03-04,558,P,39138,0.1827,,,,3095
2026-03-04,559,C,7011,0.1814,,,,715
2026-03-04,559,P,24742,0.1814,,,,4557
2026-03-04,560,C,14083,0.1801,,,,1933
